class,precision,recall,f1_score,support
19,0.0462,0.0211,0.029,142
20,0.375,0.0462,0.0822,130
21,1.0,0.0769,0.1429,91
22,0.0,0.0,0.0,4
23,0.0,0.0,0.0,11
24,0.0,0.0,0.0,7
25,0.0,0.0,0.0,246
26,0.0,0.0,0.0,371
28,0.0,0.0,0.0,5
29,0.0,0.0,0.0,14
30,0.0,0.0,0.0,56
31,0.0,0.0,0.0,6
32,0.0,0.0,0.0,6
33,0.0,0.0,0.0,21
34,0.0,0.0,0.0,6
35,0.0,0.0,0.0,3
36,0.0,0.0,0.0,22
37,0.0,0.0,0.0,5
macro,0.20902272463193858,0.20264970603535543,0.18655058212054312,0
fold 10,,,,
0,0.9362,0.9768,0.9561,8834
1,0.0,0.0,0.0,48
2,0.9802,0.967,0.9735,666
3,0.0,0.0,0.0,6
4,0.6148,1.0,0.7615,83
5,0.0,0.0,0.0,2
6,0.0,0.0,0.0,72
7,0.0,0.0,0.0,6
8,0.0,0.0,0.0,6
9,0.0,0.0,0.0,19
10,0.5751,0.9255,0.7094,604
11,0.0,0.0,0.0,19
12,0.1216,0.8571,0.213,21
13,0.0,0.0,0.0,27
14,0.7928,0.6984,0.7426,126
15,0.9714,0.9905,0.9808,4315
16,0.4237,0.6247,0.5049,858
17,0.0,0.0,0.0,6
18,0.0,0.0,0.0,98
19,0.1646,0.0935,0.1193,139
20,0.0,0.0,0.0,126
21,0.0,0.0,0.0,84
22,0.0,0.0,0.0,6
23,0.0,0.0,0.0,8
24,0.0,0.0,0.0,3
25,0.0,0.0,0.0,243
26,0.0,0.0,0.0,407
27,0.0,0.0,0.0,5
28,0.0,0.0,0.0,2
29,0.0,0.0,0.0,20
30,0.0,0.0,0.0,53
31,0.0,0.0,0.0,9
32,0.0,0.0,0.0,4
33,0.0,0.0,0.0,18
34,0.0,0.0,0.0,6
35,0.0,0.0,0.0,7
36,0.0,0.0,0.0,16
37,0.0,0.0,0.0,12
macro,0.1468522645258732,0.18772488110308316,0.15687252500414187,0
fold 1,,,,
0,0.944,0.9559,0.9499,8835
1,0.0,0.0,0.0,61
2,0.9885,0.7536,0.8553,686
3,0.0029,0.8571,0.0057,7
4,0.3548,0.9888,0.5223,89
5,0.0,0.0,0.0,3
6,0.0,0.0,0.0,64
7,0.3182,1.0,0.4828,7
8,0.0,0.0,0.0,8
9,0.0,0.0,0.0,17
10,0.4083,0.7672,0.5329,670
11,0.0222,0.381,0.042,21
12,0.0175,0.6667,0.0341,21
13,0.2222,0.4545,0.2985,22
14,0.4651,0.1739,0.2532,115
15,0.5534,0.0412,0.0767,4152
16,0.0,0.0,0.0,908
17,0.0,0.0,0.0,11
18,0.0045,0.0081,0.0058,124
19,0.0,0.0,0.0,157
20,0.0,0.0,0.0,144
21,0.2,0.04,0.0667,75
22,0.0,0.0,0.0,3
23,0.0,0.0,0.0,14
24,0.0,0.0,0.0,3
25,0.0,0.0,0.0,255
26,0.0,0.0,0.0,389
27,0.0,0.0,0.0,4
28,0.0,0.0,0.0,6
29,0.0,0.0,0.0,16
30,0.0,0.0,0.0,43
31,0.0,0.0,0.0,6
32,0.0,0.0,0.0,5
33,0.0,0.0,0.0,16
34,0.0,0.0,0.0,5
35,0.0,0.0,0.0,5
36,0.0,0.0,0.0,10
37,0.0,0.0,0.0,8
macro,0.118464896866947,0.18652367932444744,0.10857126689503258,0
fold 2,,,,
0,0.9309,0.9485,0.9396,8835
1,0.1,0.0147,0.0256,68
2,0.9327,0.9845,0.9579,647
3,0.002,1.0,0.004,2
4,0.8654,1.0,0.9278,90
6,0.0577,0.0455,0.0508,66
7,0.875,0.875,0.875,8
8,0.0,0.0,0.0,5
9,0.0,0.0,0.0,13
10,0.4862,0.6,0.5371,615
11,0.0049,0.4545,0.0097,11
12,0.0106,0.9444,0.021,18
13,0.0,0.0,0.0,23
14,0.8143,0.4914,0.6129,116
15,0.8283,0.2686,0.4057,4255
